Chủ đề	câu 1	câu 2	điểm
Khoa Học	zuckerberg cho ra_đời facebook trong phòng ký_túc_xá của mình tại đại_học harvard vào ngày tháng năm 2004	vịnh_hạ_long là một vịnh_nhỏ thuộc phần bờ tây vịnh_bắc_bộ tại khu_vực biển đông_bắc việt_nam bao_gồm vùng_biển đảo của thành_phố_hạ_long thuộc tỉnh quảng_ninh	0
Văn Học	người_lái_đò sông_đà là bài tuỳ_bút được in trong tập sông_đà 1960 của nguyễn_tuân	người_lái_đò sông_đà là một trong 15 bài tùy bút trong tập tùy bút sông_đà của nhà_văn nguyễn_tuân được sáng_tác năm 1960	4
Văn Học	ai đã đặt_tên cho dòng_sông là bài bút_kí xuất_sắc viết tại huế ngày 1981 in trong tập sách cùng tên	ai đã đặt_tên cho dòng_sông là bài bút_kí xuất_sắc được hoàng_phủ ngọc tường viết tại huế ngày 1981 in trong tập sách cùng tên	4
Văn Học	với một_số hiểu_biết về bệnh_tật thu_được trong nghề rao thuốc dạo hắn chữa_khỏi_bệnh cho cụ cố và được tâng_bốc là sinh_viên trường thuốc rồi quan đốc tờ	xuân được cụ cố khen là biết nhiều về y_lí và nhân đó văn_minh giới_thiệu xuân_tóc đỏ là sinh_viên trường thuốc và từ đó nghiễm_nhiên trở_thành quan đốc	3
Văn Học	truyện_ngắn làng của kim_lân đã xây_dựng thành_công hình_ảnh nhân_vật ông hai một người_nông_dân chân_chất nhưng mang nặng_tình_yêu làng và lòng yêu quê_hương có tinh_thần kháng_chiến mạnh_mẽ	tình_yêu làng và lòng_yêu_nước tinh_thần kháng_chiến của người_nông_dân phải rời làng đi tản_cư đã được thể_hiện chân_thực sâu_sắc và cảm_động nhân_vật ông hai trong truyện làng	3
Văn Học	bây_giờ liên vội_vàng vào thắp đèn_xếp những quả sơn đen lại trong lúc an đi_tìm then để cài cửa cho chắc_chắn	liên_đếm lại những phong thuốc_lào xếp vào hòm các bánh xà_phòng còn_lại vừa lẩm_nhẩm tính tiền hàng	2
Văn Học	xuân_tóc ðỏ đứng cầm mũ nghiêm_trang một chỗ bên_cạnh ông phán mọc_sừng	xuân_tóc ðỏ muốn bỏ quách ra chợt_thấy ông phán dúi vào tay nó một cái giấy_bạc năm đồng gấp tư ...	1
Văn Học	với bé thu chiếc_lược ngà là kỉ_vật của người_cha là tình_cảm yêu_mến nhớ_thương của người_cha chiến_sĩ nơi chiến_khu dành cho mình	anh sáu vẫn ngồi_im giả_vờ không_nghe chờ nó gọi ba vô ăn cơm	1
Văn Học	xuân_quỳnh là một trong những nhà_thơ tiêu_biểu của nền văn_học việt_nam hiện_đại	tây_tiến là bài_thơ tiêu_biểu_cho đời thơ quang_dũng thể_hiện sâu_sắc phong_cách nghệ_thuật của nhà_thơ được in trong tập mây_đầu	1
Văn Học	ðiều băn_khoăn của con cụ ông văn_minh chỉ là mời luật_sư đến chứng_kiến cái_chết của ông nội mà thôi	hlv park_hang seo đã gọi khá_nhiều tân_binh và tuyển_thủ u23 việt_nam cho giải giao_hữu lần này song lựa_chọn của ông sẽ là hai gương_mặt mới mà cũ	0
Văn Học	đất_nước là một thi phẩm xuất_sắc tiêu_biểu nhất cho sự_nghiệp thơ_ca của nguyễn_đình_thi	rafael nadal vẫn_còn rất nhiều cơ_hội vượt_qua carlos alcaraz chiếm ngôi số thế_giới còn novak djokovic đang đứng_trước nguy_cơ không được tham_dự atp finals 2022	0
Thể Thao	năm 2018 á_quân của giải u23 châu_á là u23 việt_nam	u23 việt_nam giành á_quân giải u23 châu vào năm 2018	4
Thể Thao	không_có nền_tảng sức_khỏe tốt nghĩa_là đối_mặt_với cả một núi khó_khăn trong bóng_đá	những người không_có nền_tảng sức_khỏe tốt sẽ gặp rất nhiều khó_khăn trong bóng_đá	4
Thể Thao	thể_thao là một quá_trình hoạt_động nhằm tác_động có_chủ_đích có_tổ_chức theo những nhu_cầu lợi_ích của con_người	thể_thao là hoạt_động thể_chất hay kỹ_năng dành_cho mục_đích giải_trí thi_đấu rèn_luyện bản_thân tăng_cường sức_khỏe	3
Thể Thao	phải thừa_nhận vận_động_viên là những người cần_cù siêng_năng chịu_khó	vận_động_viên có_nhiều đức_tính tốt như chăm_chỉ kiên_trì và vượt_qua các khó_khăn trong sự_nghiệp	3
Thể Thao	bóng_rổ là môn thi_đấu đối_kháng trực_tiếp giữa hai đội bóng	mục_tiêu của trò_chơi bóng_rổ là đưa bóng vào rổ đối_phương đồng_thời_hạn_chế đối_thủ ném bóng vào rổ	2
Thể Thao	trượt_ván là bộ_môn thể_thao hành_động bao_gồm việc người trượt sẽ di_chuyển và biểu_diễn các kỹ_thuật tương_tác trên chiếc ván trượt	trượt_ván là một hoạt_động giải_trí một hình_thức_nghệ_thuật một nghề_nghiệp trong ngành_công_nghiệp_giải_trí và là một cách_thức di_chuyển	2
Thể Thao	bóng_đá là môn thể_thao đồng_đội được chơi với quả_bóng hình_cầu giữa hai đội với 11 cầu_thủ mỗi bên	ngày_hội thể_thao bóng_đá lớn_nhất sẽ được tổ_chức vào tháng 11 năm 2022	1
Thể Thao	để có_thể khoẻ_mạnh chúng_ta cần thường_xuyên chơi thể_thao	đá_bóng giúp ta nâng cao thể_lực bản_thân	1
Thể Thao	bóng_đá việt_nam bây_giờ ngày_càng phát_triển	chơi thể_thao giúp cho con_người rèn_luyện sức_khoẻ	0
Thể Thao	việt_nam đã thành_công trong việc chuẩn_bị sea_games 31	bóng_chuyền là một trong những môn thể_thao phụ_thuộc rất nhiều vào chiều cao	0
Thể Thao	dormund được đánh_giá mạnh_hơn trước mu trong trận đại_chiến	dormund được nhận_định là kèo trên trong trận đại_chiến với mu	4
Chiến Tranh	bước_tiến đầu_tiên của usa bang califonia sau đợt phản_công của quân_đội đức	mỹ đạt_được thành_công đầu_tiên tỉnh califonia	4
Tin Tức	thái_bình sét_đánh người thiệt_mạng trong ngày	thảm_họa thiên_nhiên cụ_thể là lôi sét khiến nhiều người thiệt_mạng tại việt_nam	3
Thị Trường	dự_báo thị_trường xuất_khẩu dệt may tháng cuối năm và năm 2023 khá trầm_lắng	thị_trường xuất_khẩu dệt may khá trầm vào cuối năm	3
Tin Tức	giá xăng_dầu giảm_mạnh trong_sáng ngày 21	giá vàng ngày 20 giá vàng thế_giới và trong nước giảm nhẹ	2
Thị Trường	giá lúa gạo ngày 20 dầu_thô trong_nước tăng 100đ 1l	giá lúa gạo ngày 20 giá gạo trong nước giảm nhẹ	2
Khoa Học	học giỏi toán giúp_ích rất lớn cho lập_trình	đoàn_thể_thao olympic toán việt_nam đạt giải	1
Tin Tức	miền_bắc đón không_khí lạnh đầu_tiên	thời_tiết miền_bắc thay_đổi để chuẩn_bị chuyển đông	1
Tin Tức	đã có 24 người mất_mạng tại vụ cháy karaoke bình_dương	đội các siêu_sao dormund đã có_mặt tại việt_nam	0
Tin Tức	di_dân các tỉnh miền_trung để tránh siêu bão noru	đội_tuyển việt_nam thắng đậm singapore trong trận giao_hữu	0
Tin Tức	đi đâu không_quan_trọng quan_trọng là được đi cùng nhau	du_lịch cùng nhau để có những khoảnh_khắc đáng nhớ cùng nhau	4
Tin Tức	ai cũng phải đu_di_lịch để học_hỏi	cách_sống hướng_ngoại mà một chuyến du_lịch có_thể dạy bạn	4
Tin Tức	không gì giúp phát_triển trí_thông_minh như là đi du_lịch	ai cũng phải đu_di_lịch để học_hỏi	3
Tin Tức	kỳ_tích sẽ xuất_hiện từ sự chinh_phục khó_khăn	khó_khăn không trường_tồn chỉ có con_người cứng_rắn trường_tồn	3
Tin Tức	du_lịch đem_lại nhận_thức bảo_vệ môi_trường và động_vật	việc đi_du_lịch giúp bạn thấu_hiểu bản_thân	2
Tin Tức	du_lịch làm ta cảm_thấy yêu_thương những sinh_mệnh xung_quanh	đi đó_đây là ta mở_mang đầu_óc	2
Tin Tức	du_lịch là một_cách xả stress tốt nhất	ai được đi nhiều nơi suy_nghĩ của họ sẽ rất khác	1
Tin Tức	để có_tâm_trạng thoải_mái chúng_ta nên đi nhiều nơi	đi_xa giúp ta thay_đổi cách nhìn về thế_giới	1
Tin Tức	đi nhiều nơi giúp ta mở_mang thêm kiến_thức	dubai là một đất_nước nên tới để du_lịch	0
Tin Tức	việt_nam có_nhiều địa_điểm du_lịch thú_vị	việt_nam có_nhiều danh_lam thắng_cảnh đẹp	1
Khoa Học	sự thông_minh là khả_năng thích_ứng với những thay_đổi	thích_ứng_với những thay_đổi là khả_năng của sự thông_minh	4
Khoa Học	động_cơ hoạt_động được nhờ có nhiên_liệu	nhiên_liệu giúp động_cơ hoạt_động	4
Khoa Học	xã_hội tồn_tại nhờ niềm_tin và phát_triển nhờ khoa_học	niềm_tin và phát_triển của khoa_học là trong những điều để xã_hội tồn_tại	3
Khoa Học	hạt_giống khoa_học nẩy mầm là để nhân_dân thu_hoạch	nhân_dân được_hưởng nhiều cái từ công_nghệ khi hạt_giống khoa_học nẩy mâm phát_triển	3
Khoa Học	sự_xuất_hiện của cá_voi xanh đem_lại hi_vọng phục_hồi loài động_vật to_lớn này	các nhà_khoa_học đã đếm_được 58 con cá_voi xanh khu_vực đem_lại hi_vọng phục_hồi loài động_vật to_lớn này	2
Khoa Học	một phát_hiện hài_hước và kỳ_lạ khác của năm 2020 là việc bạch_tuộc đôi_khi biết dùng xúc_tu để đấm vào đầu cá	những con bạch_tuộc xanh lớn octopus cyanea thường liên_kết với cá để tìm_thức_ăn nhưng đôi_khi không_hài_lòng với những con cá đó hoặc không_muốn chia_sẻ thức_ăn cùng săn_được chúng sử_dụng chuyển_động một xúc_tu cực nhanh để tạo_ra một cú_đánh thẳng vào đầu con cá	2
Khoa Học	nasa muốn_có thêm tàu chở người tới mặt_trăng	nasa sẽ phóng_tên_lửa chở tàu_vũ_trụ không_người lái tới quỹ_đạo mặt_trăng cuối tháng nếu thử_nghiệm đổ nhiên_liệu diễn ra thành_công	1
Khoa Học	máy_ảnh năng_lượng tối decam chụp được bức_ảnh tuyệt đẹp về một vùng hình_thành sao cách trái_đất 8000 năm ánh_sáng	kính_viễn_vọng james_webb cung_cấp quan_sát mới về tinh_vân orion tiết_lộ quá_trình hình_thành sao cách_xa 1350 năm ánh_sáng	1
Khoa Học	các chuyên_gia thu_thập dữ_liệu hội_thoại để dạy robot cười đúng_kiểu và đúng_lúc giúp cuộc_trò_chuyện với người trở_nên tự_nhiên hơn	nasa có_kế_hoạch bổ_sung ít_nhất một tàu chở phi_hành_đoàn hạ_cánh xuống cực nam của mặt_trăng trong chương_trình artemis	0
Khoa Học	đời_sống tình_dục của bọ_cạp táo_bón vịt con đi_theo hàng nai sừng tấm cao_su là những vật truyền_cảm_hứng cho các nhà_nghiên_cứu thắng giải ig nobel năm nay	cá_sấu mẹ bị mất một chân cố_gắng chăm_sóc đàn con bằng cách xây tổ bảo_vệ và mang chúng tới mép nước để tránh động_vật ăn thịt	0
Thể Thao	messi là cầu_thủ rất khéo_léo	không ai có_thể đi_bóng dẻo như messi	4
Thể Thao	messi là cầu_thủ xuất_sắc nhất từ trước đến nay	không ai có_thể chơi bóng giỏi như messi	4
Thể Thao	bóng_đá được chơi với bàn_chân nóng và cái đầu lạnh	bóng_đá không chỉ chơi bằng đôi chân hãy chơi bằng cả trái_tim của bạn	3
Thể Thao	bóng_đá là môn thể_thao được_yêu_thích nhất trên thế_giới	tất_cả mọi_người đều đam_mê bóng_đá	3
Thể Thao	bóng_đá không_phải một trò_chơi đó là lối sống	bóng_đá được cấu_thành từ máu mồ_hôi và những giọt nước_mắt	2
Thể Thao	cuộc_sống giống_như bóng_đá chúng_ta cần mục_tiêu	không đam_mê bạn sẽ không bao_giờ chơi được bóng_đá	2
Thể Thao	đội bóng của bạn chính là gia_đình thứ hai của bạn	bóng_đá là tài_năng và 95 luyện_tập	1
Thể Thao	ghi_bàn trong bất_kỳ trận_đấu nào luôn là khoảnh_khắc hạnh_phúc nhất	những vết_sẹo từ bóng_đá là những vết sẹo đẹp	1
Thể Thao	camp nou là sân_vận_động tọa_lạc tại thành_phố barcelona	bugatti chiron là một trong những chiếc xe nhanh nhất thế_giới	0
Thể Thao	maradona là một trong những cầu_thủ xuất_sắc nhất trong lịch_sử bóng_đá thế_giới	nam_định là một trong những tỉnh nghèo	0
Công Nghệ Thông Tin	có_nhiều học_sinh thích môn tin_học	môn tin_học được khá_nhiều học_sinh yêu thích	4
Công Nghệ Thông Tin	học_sinh nào rồi cũng phải học qua tin_học	đã là học_sinh ai cũng phải học qua tin_học	4
Công Nghệ Thông Tin	lập_trình cần một bộ_óc thông_minh	những người thông_minh thường có tư_duy lập_trình tốt	3
Công Nghệ Thông Tin	máy_tính là thiết_bị không_thể thiếu với dân it.	máy_tính là một thiết_bị thông_minh do con_người lập_trình	3
Công Nghệ Thông Tin	công_nghệ_thông_tin là một ngành không_thể thiếu trong đời_sống	cách đây 10 năm ngành công_nghệ_thông_tin còn kém phát_triển	2
Công Nghệ Thông Tin	trí_tuệ_nhân_tạo sẽ thay_thế con_người trong tương_lai	trong một tương_lai_không_xa máy_móc sẽ thay_thế con_người	2
Công Nghệ Thông Tin	học giỏi toán sẽ rất có_ích cho lập_trình	đoàn_thể_thao olympic_toán của việt_nam đã đoạt giải nhất	1
Công Nghệ Thông Tin	ngôn_ngữ lập_trình rất đa_dạng	để lập_trình chúng_ta phải thành_thạo nhiều kỹ_năng	1
Công Nghệ Thông Tin	ấn_độ là một đất_nước rất phát_triển về lập_trình	hiện_nay có_rất_nhiều hệ điều_hành	0
Công Nghệ Thông Tin	ngành công_nghệ_thông_tin hiện_nay đang rất hot	đoàn_thể_thao olympic_toán của việt_nam đã đoạt nhiều hcv.	0
Công Nghệ Thông Tin	nhiều người thích môn tin_học	môn tin_học được khá nhiều người_yêu thích	4
Công Nghệ Thông Tin	nhân_viên_văn_phòng nào rồi cũng phải học qua tin_học	đã là nhân_viên_văn_phòng ai cũng phải học qua tin_học	4
Công Nghệ Thông Tin	lập_trình cần một tư_duy nhạy tốt	những người giỏi thường có tư_duy lập_trình tốt	3
Công Nghệ Thông Tin	máy_tính là thiết_bị rất quan_trọng với dân it.	máy_tính là một thiết_bị hỗ_trợ do con_người lập_trình	3
Công Nghệ Thông Tin	công_nghệ_thông_tin là một ngành xu_hướng trong tương_lai	cách đây 10 năm ngành công_nghệ_thông_tin còn kém phát_triển	2
Công Nghệ Thông Tin	trí_tuệ_nhân_tạo sẽ thay_thế con_người trong tương_lai	trong một tương_lai_không_xa máy_móc sẽ thay_thế con_người	2
Công Nghệ Thông Tin	giỏi toán sẽ rất có_ích cho lập_trình	đoàn_thể_thao olympic_toán của việt_nam đã đoạt giải nhất	1
Công Nghệ Thông Tin	ngôn_ngữ lập_trình rất đa_dạng	để lập_trình chúng_ta phải thành_thạo nhiều kỹ_năng	1
Công Nghệ Thông Tin	phương_tây là một nơi rất phát_triển về lập_trình	hiện_nay có_rất_nhiều hệ_điều_hành do các nước tạo ra	0
Công Nghệ Thông Tin	ngành công_nghệ_thông_tin hiện_nay đang rất hot	hiện_nay nhiều người đổ_xô theo học lập_trình	0
Thể Thao	năm 2018 á_quân của giải u23 châu_á là u23 việt_nam	u23 việt_nam giành á_quân giải u23 châu vào năm 2018	4
Thể Thao	không_có nền_tảng sức_khỏe tốt nghĩa_là đối_mặt_với cả một núi khó_khăn trong bóng_đá	những người không_có nền_tảng sức_khỏe tốt sẽ gặp rất nhiều khó_khăn trong bóng_đá	4
Tin Tức	ấn_độ sét_đánh 21 người thiệt_mạng trong ngày	thảm_họa thiên_nhiên cụ_thể là lôi sét khiến nhiều người thiệt_mạng tại ấn độ	3
Thị Trường	dự_báo thị_trường xuất_khẩu dệt may tháng cuối năm và năm 2023 khá trầm_lắng	thị_trường xuất_khẩu dệt may khá trầm vào cuối năm	3
Tin Tức	du_lịch đem_lại nhận_thức bảo_vệ môi_trường và động_vật	việc đi_du_lịch giúp bạn thấu_hiểu bản_thân	2
Tin Tức	du_lịch làm ta cảm_thấy yêu_thương những sinh_mệnh xung_quanh	đi đó_đây là ta mở_mang đầu_óc	2
Văn Học	đất rừng phương_nam là một trong những tác_phẩm của đoàn giỏi	đoàn giỏi thường viết_về cuộc_sống thiên_nhiên và con_người nam_bộ	1
Văn Học	số_đỏ là một tiểu_thuyết văn_học của nhà_văn vũ_trọng phụng	vũ_trọng_phụng là một nhà_báo nhà_văn nổi_tiếng việt_nam vào đầu thế_kỷ 20	1
Văn Học	đã có 24 người mất_mạng tại vụ cháy karaoke bình_dương	đội các siêu_sao dormund đã có_mặt tại việt_nam	0
Thể Thao	di_dân các tỉnh miền_trung để tránh siêu bão noru	đội_tuyển việt_nam thắng đậm singapore trong trận giao_hữu	0
Văn Học	tác_phẩm chí_phèo là một kiệt_tác được nam_cao viết vào năm 1941	trong năm 1941 nam_cao đã viết được kiệt_tác chí_phèo	4
Văn Học	nam_cao là người có tấm lòng thật đôn_hậu chán chứa yêu_thương	nam_cao có tấm lòng nhân_hậu và giàu tình_thương	4
Văn Học	nam_cao là tấm_gương cao_đẹp của một nhà_văn chân_chính	qua tác_phẩm chí_phèo nhà_văn nam_cao đã khẳng_định được tài_năng của mình	3
Văn Học	chí_phèo là kết_tinh những thành_công của nam_cao trong đề_tài nông_dân	chí_phèo là tác_phẩm phản_ánh hình_ảnh người_nông_dân bị đè_nén bóc_lột	3
Văn Học	chí_phèo là một truyện_ngắn nói_về người nông_dân_nghèo xã_hội cũ	những ngày thơ_ấu là tác_phẩm truyện_ngắn của tác_giả nguyên_hồng	2
Văn Học	dế_mèn phiêu_lưu ký của tác_giả tô_hoài được các bạn nhỏ yêu thích	tác_phẩm số_đỏ đã lên_án gay_gắt cái xã_hội tư_sản thành_thị việt_nam đương_thời	2
Văn Học	đất rừng phương_nam là một trong những tác_phẩm của đoàn giỏi	đoàn giỏi thường viết_về cuộc_sống thiên_nhiên và con_người nam_bộ	1
Văn Học	số_đỏ là một tiểu_thuyết văn_học của nhà_văn vũ_trọng phụng	vũ_trọng_phụng là một nhà_báo nhà_văn nổi_tiếng việt_nam vào đầu thế_kỷ 20	1
Văn Học	chí_phèo thuộc thể_loại truyện_ngắn	nhớ rừng là tác_phẩm tiêu_biểu_cho phong_trào thơ mới	0
Văn Học	truyện_kiều gồm 3254 câu_thơ theo thể lục_bát	tắt_đèn của ngô_tất_tố là một tác_phẩm văn_học hiện_thực phê_phán	0
Tin Tức	đi_vào tầm này mới có_nhiều chim vả_lại giờ này mấy tay kiểm_lâm không còn lượn_lờ nữa ông kể hôm_qua mấy thằng khu dưới bẫy_chim xong không cất lưới bị kiểm_lâm thu sạch thế_là mất_toi mấy trăm ngàn bạc	đi_vào tầm này mới có_nhiều chim vả_lại giờ này mấy tay kiểm_lâm không còn lượn_lờ nữa ông kể hôm_qua mấy thằng khu dưới bẫy_chim xong không cất lưới bị kiểm_lâm thu sạch thế_là mất_toi mấy trăm ngàn bạc	4
Thể Thao	hà_nội chỉnh_trang đường_phố chuẩn_bị sea_games 31	người_dân hà_nội dọn_dẹp vệ_sinh môi_trường chào_đón sea_games 31	4
Thể Thao	việt_nam đã xuất_sắc dành được á_quân tại giải u23 châu năm 2018	năm 2018 thật tuyệt_vời khi đội_tuyển u23 việt_nam dành á_quân tại giải u23 châu_á	3
Thể Thao	thể_thao là hoạt_động thể_chất hay kỹ_năng dành_cho mục_đích giải_trí thi_đấu rèn_luyện bản_thân tăng_cường sức_khỏe	để có một cơ_thể khoẻ_mạnh chúng_ta cần_phải rèn_luyện thể_thao thường_xuyên	3
Thể Thao	các vận_động_viên việt_nam có một tinh_thần thép	để có_thể lên tuyển thi_đấu các vận_động_viên cần_phải_có tinh_thần vững_chắc không ngại khó khắn	2
Thể Thao	bóng_rổ là môn thi_đấu đối_kháng trực_tiếp giữa hai đội bóng	mục_tiêu của trò_chơi bóng_rổ là đưa bóng vào rổ đối_phương đồng_thời_hạn_chế đối_thủ ném bóng vào rổ	2
Thể Thao	cầu_lông là môn thể_thao dùng vợt thi_đấu giữa người hoặc người	cầu_lông được ra_mắt chính_thức vào năm 1873 tại badminton_house gloucestershire	1
Thể Thao	bóng_đá là môn thể_thao đồng_đội được chơi với quả_bóng hình_cầu giữa hai đội với 11 cầu_thủ mỗi bên	ngày_hội thể_thao bóng_đá lớn_nhất sẽ được tổ_chức vào tháng 11 năm 2022	1
Thể Thao	để có_thể khoẻ_mạnh chúng_ta cần thường_xuyên chơi thể_thao	đá_bóng giúp ta nâng cao thể_lực bản_thân	1
Thể Thao	bóng_đá việt_nam bây_giờ ngày_càng phát_triển	chơi thể_thao giúp cho con_người rèn_luyện sức_khoẻ	0
Thể Thao	việt_nam đã thành_công trong việc chuẩn_bị sea_games 31	bóng_chuyền là một trong những môn thể_thao phụ_thuộc rất nhiều vào chiều cao	0
Tin Tức	lào campuchia và việt_nam là nước anh_em rất khăng_khít	nước anh_em rất khăng_khít là lào campuchia và việt_nam	4
Tin Tức	nam_định là trong những thành_phố đáng sống	những thành_phố đáng sống trong đó có nam_định	4
Tin Tức	tình_hình giữa nước_nga và ukraina đang rất căng_thẳng	sự_căng_thẳng giữa nga và ukraina chưa có chuyển_biến tích_cực	4
Tin Tức	dự_báo thị_trường xuất_khẩu dệt may tháng cuối năm và năm 2023 khá trầm_lắng	thị_trường xuất_khẩu dệt may khá trầm vào cuối năm	3
Du Lịch	du_lịch đem_lại nhận_thức bảo_vệ môi_trường và động_vật	việc đi_du_lịch giúp bạn thấu_hiểu bản_thân	2
Du Lịch	du_lịch làm ta cảm_thấy yêu_thương những sinh_mệnh xung_quanh	đi đó_đây là ta mở_mang đầu_óc	1
Du Lịch	cát_bà là trong những địa_điểm du_lịch rất hấp_dẫn	ra cát_bà phải đi thuyền hoặc phà	1
Tin Tức	hôm_nay có_vẻ nóng nên phải mặc áo chống nắng	trời nắng thế này được ngồi trong điều hòa là thích nhất	1
Tin Tức	dịch_covid đang_có xu_hướng quay trở_lại	thời_điểm này rất thích_hợp để đi du_lịch	0
Tin Tức	di_dân các tỉnh miền_trung để tránh siêu bão noru	đội_tuyển việt_nam thắng đậm singapore trong trận giao_hữu	0
Tin Tức	mu_nhận tin cực vui trước trận đại_chiến man city	mu có_dấu_hiệu tốt trước trận_đấu với man city	4
Tin Tức	bước_tiến đầu_tiên của nga tỉnh kharkiv sau đợt phản_công của quân_đội ukraina	nga đạt_được thành_công đầu_tiên tỉnh kharkiv	3
Tin Tức	ấn_độ sét_đánh 21 người thiệt_mạng trong ngày	sét_đánh thiệt_mạng rất nhiều người ấn_độ	3
Tin Tức	dự_báo thị thời_tiết cuối tuần này sẽ nắng và tuần tiếp_theo trời lại nồm đến hết tuần	cuối tuần này trời nắng nhẹ	3
Tin Tức	giá vàng sáng 21 giảm 100 nghìn đồng lượng	giá xăng dầu ngày 21 đang giảm	0
Tin Tức	giá lúa gạo ngày 20 gạo xuất_khẩu tăng thị_trường trong nước sôi_động	giá vàng ngày 20 giá vàng thế_giới và trong nước giảm nhẹ	0
Tin Tức	hà_nội mưa lớn khiến nhiều tuyến phố ngập cây đổ đè ô_tô	dự_báo thời_tiết mưa lớn	1
Tin Tức	miền_bắc đón không_khí lạnh đầu_tiên	thời_tiết bắt_đầu trở lạnh từ hôm_nay	2
Tin Tức	đã có 71 người thoát khỏi casino campuchia	cháy lớn tại toà nhà viễn_thông trung_quốc	0
Tin Tức	thời_tiết cuối tuần nhiều nơi mưa to	đề_nghị hà_nội dừng cafe đường tàu	0
Tin Tức	nam_thanh_niên đi_bộ vào tiệm vàng kim_huyền đập_vỡ tủ_kính vơ nữ_trang ném ra đường	tại tiệm vàng kim_huyền_nam thanh_niên đập_vỡ tủ_kính ném trang_sức ra đường	4
Tin Tức	ngày 11 2016 người_chồng trình_báo papini mất_tích	papini mất_tích ngày 11 2016 do người chồng trình_báo	4
Phim Ảnh	lý_hải làm_phim hành_động khó trăm bề	lý_do lý_hải làm_phim hành_động gặp khó_khăn	3
Phim Ảnh	những lý_do khiến phim hành_động việt_nam yếu_thế trong nước	vì thiếu kinh_phí nên phim hành_động việt_nam không được khán_giả trong nước ủng_hộ nhiều	2
Tin Tức	sư_tử_biển suýt làm lật thuyền vì trốn cá_voi sát_thủ	sư_tử_biển có_thể nặng tới 300kg	2
Tin Tức	nhật_bản được mệnh_danh là một đất_nước_sạch	nhiều bộ phim_hoạt_hình hay đều xuất_phát từ nhật_bản	0
Tin Tức	cao_tốc vân_đồn móng_cái dài gần 80km được_trang_bị đầu_tư đồng_bộ hệ_thống điện chiếu sáng dọc tuyến	đường_cao_tốc hà_nội hải_phòng hay còn gọi_là quốc_lộ 5b là một trong tuyến cao_tốc được xây_dựng theo quy_hoạch tại miền bắc việt_nam	0
Tin Tức	công_chức viên_chức sẽ nghỉ tết từ ngày 21 2023 đến hết ngày 29 2023 dương_lịch	học_sinh sinh_viên cũng sẽ có_số ngày_nghỉ_lễ như của giáo_viên giảng_viên	0
Tin Tức	tuấn_hưng làm phó_chủ_tịch hội nghệ_sĩ trẻ hà_nội	bộ quốc_phòng tạm_hoãn xét nghĩa_vụ_quân_sự theo đề_xuất của bộ giáo_dục	0
Tin Tức	triệu_phú toàn_cầu sẽ tăng vào năm 2026	giá xăng ngày_mai có_thể giảm lần liên_tiếp	0
Sức Khoẻ	biểu_hiện hay gặp nhất của ung_thư phổi là ho kéo_dài nhưng rất nhiều người hay chủ_quan nghĩ_rằng ho do viêm họng	mọi_người chủ_quan nghĩ_rằng ho kéo_dài là do viêm họng nhưng đó là biểu_hiện hay gặp nhất của ung_thư phổi	4
Sức Khoẻ	để tận_dụng tối_đa lợi_ích của bữa_ăn nhẹ lúc chiều tốt_hơn hết bạn không_nên ăn_nhẹ khi đang đứng hoặc ngồi trước máy_tính	bạn không_nên ăn_nhẹ khi đang đứng hoặc ngồi trước máy_tính để đảm_bảo tối_đa lợi_ích của bữa_ăn nhẹ lúc chiều	4
Sức Khoẻ	bệnh_viện là không_gian trong đó tất_cả các loại dịch_vụ liên_quan đến sức_khỏe được phát_triển	bệnh_viện là một tổ_chức chăm_sóc sức_khỏe cung_cấp điều_trị bệnh_nhân với các nhân_viên_y_tế và điều_dưỡng chuyên_ngành và thiết_bị y_tế	3
Khoa Học	tế_bào là đơn_vị cấu_tạo cơ_bản của mọi sinh_vật	tế_bào là đơn_vị nhỏ nhất của sự_sống có khả_năng phân_chia độc_lập	3
Sức Khoẻ	tác_hại của cà_pháo đối_với sức_khỏe là vô_cùng lớn	một tách cà_phê vào buổi_sáng giúp tỉnh_táo hơn	0
Sức Khoẻ	trí_nhớ giảm_sút là hiện_tượng người_bệnh hay_quên khó tập_trung lơ_đễnh	đề_phòng đau cổ_chân khi sút bóng quá mạnh	0
Sức Khoẻ	những món ăn được chế_biến từ thịt_chim_bồ_câu có_tác_dụng bồi_bổ cơ_thể rất_tốt người_cao_tuổi và trẻ_em hoặc những người mới ốm dậy	rau_câu là một món_tráng_miệng rất ngon và mát vào mùa hè	0
Sức Khoẻ	tai_nạn bất_ngờ_xuất_hiện cơn khó_thở trong đêm ngộ_độc thức_ăn sốc phản_vệ là những ca cấp_cứu khẩn_cấp đối_với tính_mạng và sức_khỏe lâu_dài của một người	người_ta biết đến ca giấy với những đặc_tính bảo_vệ sức_khỏe con_người so với ca nhựa thông_thường	0
Sức Khoẻ	tài_sản lớn_nhất của đời_người là sức_khỏe và trí_tuệ	an_toàn giao_thông là hạnh_phúc của mọi nhà	0
Sức Khoẻ	để tận_dụng tối_đa lợi_ích của bữa_ăn nhẹ lúc chiều tốt_hơn hết bạn không_nên ăn_nhẹ khi đang đứng hoặc ngồi trước máy_tính	tai_nạn giao_thông là_nguyên_nhân gây tử_vong hàng_đầu	0
